Product ID,Published State,Purchase Type,Auto Translate,Locale; Title; Description,Auto Fill Prices,Price,Pricing Template ID,EEA Withdrawal Right Type,Reduced VAT Rates,Communications and amusement taxes,Tokenized digital asset declared
com.fungames.battletanksbeta.changenick,published,managed_by_android,false,en_US; Change name; Change user name,false,IE; 4990000; DZ; 698800000; AU; 7990000; AT; 5990000; BH; 4990000; BD; 428790000; BE; 5990000; BO; 34430000; BR; 24900000; BG; 9990000; KH; 4990000; CA; 6990000; CL; 4990000000; CO; 29900000000; CR; 3166900000; HR; 5990000; CY; 5990000; CZ; 129000000; DK; 39000000; EG; 149990000; EE; 5990000; FI; 5990000; FR; 5990000; DE; 5990000; GH; 31240000; GR; 5990000; HU; 1990000000; IN; 499000000; ID; 89000000000; IE; 5990000; IL; 17900000; IT; 5990000; JP; 700000000; JO; 3540000; KZ; 2490000000; KE; 566610000; KW; 4990000; LV; 5990000; LB; 7549870000; LI; 4990000; LT; 5990000; LU; 5990000; MO; 40020000; MY; 22900000; MX; 99000000; MA; 46360000; NL; 5990000; NZ; 9990000; NG; 2500000000; NO; 59000000; OM; 4990000; PK; 1300000000; PY; 34797000000; PE; 19900000; PH; 299000000; PL; 29990000; PT; 5990000; QA; 19990000; RO; 29990000; RU; 449000000; SA; 19990000; RS; 513270000; SG; 6980000; SK; 5990000; SI; 5990000; ZA; 99990000; KR; 6600000000; ES; 5990000; LK; 1010520000; SE; 69000000; CH; 5000000; TW; 150000000; TZ; 11900000000; TH; 199000000; TR; 109990000; UA; 141320000; AE; 19990000; GB; 4990000; US; 4990000; VN; 129000000000; EC; 4990000; PA; 4990000; SV; 4990000,,,,,false
com.fungames.battletanksbeta.coupons.coupon30usd,published,managed_by_android,false,en_US; Coupon 30 USD; Coupon 30 USD,false,IE; 29990000; DZ; 4199800000; AU; 49990000; AT; 34990000; BH; 29990000; BD; 2577040000; BE; 34990000; BO; 206930000; BR; 149900000; BG; 69990000; KH; 29990000; CA; 39990000; CL; 29990000000; CO; 179900000000; CR; 19033150000; HR; 34990000; CY; 34990000; CZ; 799000000; DK; 249000000; EG; 999990000; EE; 34990000; FI; 34990000; FR; 34990000; DE; 34990000; GH; 187740000; GR; 34990000; HU; 12990000000; IN; 2999000000; ID; 499000000000; IE; 34990000; IL; 99900000; IT; 34990000; JP; 4500000000; JO; 21290000; KZ; 14990000000; KE; 3405360000; KW; 29990000; LV; 34990000; LB; 45374870000; LI; 29990000; LT; 34990000; LU; 34990000; MO; 240520000; MY; 129900000; MX; 599000000; MA; 278610000; NL; 34990000; NZ; 49990000; NG; 14900000000; NO; 399000000; OM; 29990000; PK; 7900000000; PY; 209133000000; PE; 119900000; PH; 1790000000; PL; 149990000; PT; 34990000; QA; 99990000; RO; 149990000; RU; 2490000000; SA; 129990000; RS; 3084770000; SG; 39980000; SK; 34990000; SI; 34990000; ZA; 599990000; KR; 44000000000; ES; 34990000; LK; 6073270000; SE; 399000000; CH; 30000000; TW; 990000000; TZ; 69900000000; TH; 999000000; TR; 649990000; UA; 849320000; AE; 119990000; GB; 29990000; US; 29990000; VN; 799000000000; EC; 29990000; PA; 29990000; SV; 29990000,,,,,false
com.fungames.battletanksbeta.coupons.coupon8usd,published,managed_by_android,false,en_US; Coupon 8 USD; Coupon 8 USD,false,IE; 7990000; DZ; 1118920000; AU; 12990000; AT; 8990000; BH; 8990000; BD; 686580000; BE; 8990000; BO; 55130000; BR; 39900000; BG; 17990000; KH; 8990000; CA; 9990000; CL; 6990000000; CO; 49900000000; CR; 5070850000; HR; 8990000; CY; 8990000; CZ; 199000000; DK; 69000000; EG; 249990000; EE; 8990000; FI; 8990000; FR; 8990000; DE; 8990000; GH; 50020000; GR; 8990000; HU; 3490000000; IN; 799000000; ID; 129000000000; IE; 8990000; IL; 29900000; IT; 8990000; JP; 1200000000; JO; 5670000; KZ; 3990000000; KE; 907260000; KW; 7990000; LV; 8990000; LB; 12088870000; LI; 7990000; LT; 8990000; LU; 8990000; MO; 64080000; MY; 39900000; MX; 179000000; MA; 74230000; NL; 8990000; NZ; 14990000; NG; 3900000000; NO; 99000000; OM; 7990000; PK; 2200000000; PY; 55718000000; PE; 29900000; PH; 399000000; PL; 39990000; PT; 8990000; QA; 29990000; RO; 39990000; RU; 699000000; SA; 34990000; RS; 821850000; SG; 9980000; SK; 8990000; SI; 8990000; ZA; 149990000; KR; 11000000000; ES; 8990000; LK; 1618050000; SE; 99000000; CH; 8000000; TW; 290000000; TZ; 19900000000; TH; 299000000; TR; 179990000; UA; 226280000; AE; 29990000; GB; 7990000; US; 7990000; VN; 199000000000; EC; 7990000; PA; 7990000; SV; 7990000,,,,,false
com.fungames.battletanksbeta.hardpack1,published,managed_by_android,false,en_US; Small Hand of Diamonds; 20 diamonds,false,IE; 1990000; DZ; 278680000; AU; 2990000; AT; 1990000; BH; 1990000; BD; 171000000; BE; 1990000; BO; 13730000; BR; 9900000; BG; 3990000; KH; 1990000; CA; 2990000; CL; 1990000000; CO; 9900000000; CR; 1262950000; HR; 1990000; CY; 1990000; CZ; 49000000; DK; 19000000; EG; 59990000; EE; 1990000; FI; 1990000; FR; 1990000; DE; 1990000; GH; 12460000; GR; 1990000; HU; 999000000; IN; 199000000; ID; 29000000000; IE; 1990000; IL; 7900000; IT; 1990000; JP; 300000000; JO; 1410000; KZ; 999000000; KE; 225960000; KW; 1990000; LV; 1990000; LB; 3010870000; LI; 1990000; LT; 1990000; LU; 1990000; MO; 15960000; MY; 9900000; MX; 39000000; MA; 18490000; NL; 1990000; NZ; 3990000; NG; 900000000; NO; 29000000; OM; 1990000; PK; 500000000; PY; 13877000000; PE; 7900000; PH; 99000000; PL; 9990000; PT; 1990000; QA; 7990000; RO; 9990000; RU; 199000000; SA; 9990000; RS; 204690000; SG; 2980000; SK; 1990000; SI; 1990000; ZA; 39990000; KR; 3300000000; ES; 1990000; LK; 402990000; SE; 29000000; CH; 2000000; TW; 60000000; TZ; 4900000000; TH; 79000000; TR; 44990000; UA; 56360000; AE; 7990000; GB; 1990000; US; 1990000; VN; 49000000000; EC; 1990000; PA; 1990000; SV; 1990000,,,,,false
com.fungames.battletanksbeta.hardpack2,published,managed_by_android,false,en_US; Handful of Diamonds; 55 diamonds,false,IE; 4990000; DZ; 698800000; AU; 7990000; AT; 5990000; BH; 4990000; BD; 428790000; BE; 5990000; BO; 34430000; BR; 24900000; BG; 9990000; KH; 4990000; CA; 6990000; CL; 4990000000; CO; 29900000000; CR; 3166900000; HR; 5990000; CY; 5990000; CZ; 129000000; DK; 39000000; EG; 149990000; EE; 5990000; FI; 5990000; FR; 5990000; DE; 5990000; GH; 31240000; GR; 5990000; HU; 1990000000; IN; 499000000; ID; 89000000000; IE; 5990000; IL; 17900000; IT; 5990000; JP; 700000000; JO; 3540000; KZ; 2490000000; KE; 566610000; KW; 4990000; LV; 5990000; LB; 7549870000; LI; 4990000; LT; 5990000; LU; 5990000; MO; 40020000; MY; 22900000; MX; 99000000; MA; 46360000; NL; 5990000; NZ; 9990000; NG; 2500000000; NO; 59000000; OM; 4990000; PK; 1300000000; PY; 34797000000; PE; 19900000; PH; 299000000; PL; 29990000; PT; 5990000; QA; 19990000; RO; 29990000; RU; 449000000; SA; 19990000; RS; 513270000; SG; 6980000; SK; 5990000; SI; 5990000; ZA; 99990000; KR; 6600000000; ES; 5990000; LK; 1010520000; SE; 69000000; CH; 5000000; TW; 150000000; TZ; 11900000000; TH; 199000000; TR; 109990000; UA; 141320000; AE; 19990000; GB; 4990000; US; 4990000; VN; 129000000000; EC; 4990000; PA; 4990000; SV; 4990000,,,,,false
com.fungames.battletanksbeta.hardpack3,published,managed_by_android,false,en_US; Pocket of Diamonds; 115 diamonds,false,IE; 9990000; DZ; 1399000000; AU; 14990000; AT; 9990000; BH; 9990000; BD; 858440000; BE; 9990000; BO; 68930000; BR; 49900000; BG; 19990000; KH; 9990000; CA; 12990000; CL; 9990000000; CO; 59900000000; CR; 6340150000; HR; 9990000; CY; 9990000; CZ; 249000000; DK; 89000000; EG; 299990000; EE; 9990000; FI; 9990000; FR; 9990000; DE; 9990000; GH; 62540000; GR; 9990000; HU; 4490000000; IN; 999000000; ID; 169000000000; IE; 9990000; IL; 34900000; IT; 9990000; JP; 1500000000; JO; 7090000; KZ; 4990000000; KE; 1134360000; KW; 9990000; LV; 9990000; LB; 15114870000; LI; 9990000; LT; 9990000; LU; 9990000; MO; 80120000; MY; 49900000; MX; 199000000; MA; 92810000; NL; 9990000; NZ; 19990000; NG; 4900000000; NO; 129000000; OM; 9990000; PK; 2900000000; PY; 69665000000; PE; 39900000; PH; 499000000; PL; 49990000; PT; 9990000; QA; 39990000; RO; 49990000; RU; 899000000; SA; 39990000; RS; 1027570000; SG; 14980000; SK; 9990000; SI; 9990000; ZA; 199990000; KR; 14000000000; ES; 9990000; LK; 2023070000; SE; 129000000; CH; 10000000; TW; 320000000; TZ; 22900000000; TH; 399000000; TR; 219990000; UA; 282920000; AE; 39990000; GB; 9990000; US; 9990000; VN; 249000000000; EC; 9990000; PA; 9990000; SV; 9990000,,,,,false
com.fungames.battletanksbeta.hardpack3.coupon8usd,published,managed_by_android,false,en_US; Pocket of Diamonds; 115 diamonds,false,IE; 1990000; DZ; 278680000; AU; 2990000; AT; 1990000; BH; 1990000; BD; 171000000; BE; 1990000; BO; 13730000; BR; 9900000; BG; 3990000; KH; 1990000; CA; 2990000; CL; 1990000000; CO; 9900000000; CR; 1262950000; HR; 1990000; CY; 1990000; CZ; 49000000; DK; 19000000; EG; 59990000; EE; 1990000; FI; 1990000; FR; 1990000; DE; 1990000; GH; 12460000; GR; 1990000; HU; 999000000; IN; 199000000; ID; 29000000000; IE; 1990000; IL; 7900000; IT; 1990000; JP; 300000000; JO; 1410000; KZ; 999000000; KE; 225960000; KW; 1990000; LV; 1990000; LB; 3010870000; LI; 1990000; LT; 1990000; LU; 1990000; MO; 15960000; MY; 9900000; MX; 39000000; MA; 18490000; NL; 1990000; NZ; 3990000; NG; 900000000; NO; 29000000; OM; 1990000; PK; 500000000; PY; 13877000000; PE; 7900000; PH; 99000000; PL; 9990000; PT; 1990000; QA; 7990000; RO; 9990000; RU; 199000000; SA; 9990000; RS; 204690000; SG; 2980000; SK; 1990000; SI; 1990000; ZA; 39990000; KR; 3300000000; ES; 1990000; LK; 402990000; SE; 29000000; CH; 2000000; TW; 60000000; TZ; 4900000000; TH; 79000000; TR; 44990000; UA; 56360000; AE; 7990000; GB; 1990000; US; 1990000; VN; 49000000000; EC; 1990000; PA; 1990000; SV; 1990000,,,,,false
com.fungames.battletanksbeta.hardpack4,published,managed_by_android,false,en_US; Bag of Diamonds; 250 diamonds,false,IE; 19990000; DZ; 2799400000; AU; 29990000; AT; 22990000; BH; 19990000; BD; 1717740000; BE; 22990000; BO; 137930000; BR; 99900000; BG; 39990000; KH; 19990000; CA; 24990000; CL; 19990000000; CO; 99900000000; CR; 12686650000; HR; 22990000; CY; 22990000; CZ; 499000000; DK; 179000000; EG; 599990000; EE; 22990000; FI; 22990000; FR; 22990000; DE; 22990000; GH; 125140000; GR; 22990000; HU; 8990000000; IN; 1999000000; ID; 349000000000; IE; 22990000; IL; 69900000; IT; 22990000; JP; 3000000000; JO; 14190000; KZ; 9990000000; KE; 2269860000; KW; 19990000; LV; 22990000; LB; 30244870000; LI; 19990000; LT; 22990000; LU; 22990000; MO; 160320000; MY; 99900000; MX; 399000000; MA; 185710000; NL; 22990000; NZ; 39990000; NG; 9900000000; NO; 249000000; OM; 19990000; PK; 4900000000; PY; 139399000000; PE; 79900000; PH; 999000000; PL; 99990000; PT; 22990000; QA; 69990000; RO; 99990000; RU; 1790000000; SA; 89990000; RS; 2056170000; SG; 29980000; SK; 22990000; SI; 22990000; ZA; 399990000; KR; 29000000000; ES; 22990000; LK; 4048170000; SE; 249000000; CH; 20000000; TW; 690000000; TZ; 49900000000; TH; 699000000; TR; 449990000; UA; 566120000; AE; 79990000; GB; 19990000; US; 19990000; VN; 499000000000; EC; 19990000; PA; 19990000; SV; 19990000,,,,,false
com.fungames.battletanksbeta.hardpack4.coupon8usd,published,managed_by_android,false,en_US; Bag of Diamonds; 250 diamonds,false,IE; 11990000; DZ; 1679080000; AU; 19990000; AT; 12990000; BH; 12990000; BD; 1030300000; BE; 12990000; BO; 82730000; BR; 59900000; BG; 24990000; KH; 12990000; CA; 14990000; CL; 9990000000; CO; 69900000000; CR; 7609450000; HR; 12990000; CY; 12990000; CZ; 299000000; DK; 99000000; EG; 399990000; EE; 12990000; FI; 12990000; FR; 12990000; DE; 12990000; GH; 75060000; GR; 12990000; HU; 4990000000; IN; 1199000000; ID; 199000000000; IE; 12990000; IL; 39900000; IT; 12990000; JP; 1800000000; JO; 8510000; KZ; 5990000000; KE; 1361460000; KW; 11990000; LV; 12990000; LB; 18140870000; LI; 11990000; LT; 12990000; LU; 12990000; MO; 96160000; MY; 59900000; MX; 249000000; MA; 111390000; NL; 12990000; NZ; 19990000; NG; 5900000000; NO; 149000000; OM; 11990000; PK; 3500000000; PY; 83612000000; PE; 49900000; PH; 699000000; PL; 69990000; PT; 12990000; QA; 39990000; RO; 69990000; RU; 999000000; SA; 49990000; RS; 1233290000; SG; 17980000; SK; 12990000; SI; 12990000; ZA; 249990000; KR; 17000000000; ES; 12990000; LK; 2428090000; SE; 149000000; CH; 12000000; TW; 390000000; TZ; 29900000000; TH; 399000000; TR; 279990000; UA; 339560000; AE; 49990000; GB; 11990000; US; 11990000; VN; 299000000000; EC; 11990000; PA; 11990000; SV; 11990000,,,,,false
com.fungames.battletanksbeta.hardpack5,published,managed_by_android,false,en_US; Case of Diamonds; 750 diamonds,false,IE; 49990000; DZ; 7000600000; AU; 79990000; AT; 59990000; BH; 49990000; BD; 4295640000; BE; 59990000; BO; 344930000; BR; 249900000; BG; 99990000; KH; 49990000; CA; 69990000; CL; 49990000000; CO; 299900000000; CR; 31726150000; HR; 59990000; CY; 59990000; CZ; 1290000000; DK; 399000000; EG; 1499990000; EE; 59990000; FI; 59990000; FR; 59990000; DE; 59990000; GH; 312940000; GR; 59990000; HU; 22990000000; IN; 4999000000; ID; 799000000000; IE; 59990000; IL; 179900000; IT; 59990000; JP; 7000000000; JO; 35490000; KZ; 24990000000; KE; 5676360000; KW; 49990000; LV; 59990000; LB; 75634870000; LI; 49990000; LT; 59990000; LU; 59990000; MO; 400920000; MY; 229900000; MX; 999000000; MA; 464410000; NL; 59990000; NZ; 99990000; NG; 24900000000; NO; 599000000; OM; 49990000; PK; 12900000000; PY; 348602000000; PE; 199900000; PH; 2990000000; PL; 299990000; PT; 59990000; QA; 199990000; RO; 299990000; RU; 4490000000; SA; 199990000; RS; 5141970000; SG; 69980000; SK; 59990000; SI; 59990000; ZA; 999990000; KR; 66000000000; ES; 59990000; LK; 10123470000; SE; 599000000; CH; 50000000; TW; 1490000000; TZ; 119900000000; TH; 1990000000; TR; 1099990000; UA; 1415720000; AE; 199990000; GB; 49990000; US; 49990000; VN; 1299000000000; EC; 49990000; PA; 49990000; SV; 49990000,,,,,false
com.fungames.battletanksbeta.hardpack5.coupon30usd,published,managed_by_android,false,en_US; Case of Diamonds; 750 diamonds,false,IE; 19990000; DZ; 2799400000; AU; 29990000; AT; 22990000; BH; 19990000; BD; 1717740000; BE; 22990000; BO; 137930000; BR; 99900000; BG; 39990000; KH; 19990000; CA; 24990000; CL; 19990000000; CO; 99900000000; CR; 12686650000; HR; 22990000; CY; 22990000; CZ; 499000000; DK; 179000000; EG; 599990000; EE; 22990000; FI; 22990000; FR; 22990000; DE; 22990000; GH; 125140000; GR; 22990000; HU; 8990000000; IN; 1999000000; ID; 349000000000; IE; 22990000; IL; 69900000; IT; 22990000; JP; 3000000000; JO; 14190000; KZ; 9990000000; KE; 2269860000; KW; 19990000; LV; 22990000; LB; 30244870000; LI; 19990000; LT; 22990000; LU; 22990000; MO; 160320000; MY; 99900000; MX; 399000000; MA; 185710000; NL; 22990000; NZ; 39990000; NG; 9900000000; NO; 249000000; OM; 19990000; PK; 4900000000; PY; 139399000000; PE; 79900000; PH; 999000000; PL; 99990000; PT; 22990000; QA; 69990000; RO; 99990000; RU; 1790000000; SA; 89990000; RS; 2056170000; SG; 29980000; SK; 22990000; SI; 22990000; ZA; 399990000; KR; 29000000000; ES; 22990000; LK; 4048170000; SE; 249000000; CH; 20000000; TW; 690000000; TZ; 49900000000; TH; 699000000; TR; 449990000; UA; 566120000; AE; 79990000; GB; 19990000; US; 19990000; VN; 499000000000; EC; 19990000; PA; 19990000; SV; 19990000,,,,,false
