Product ID,Published State,Purchase Type,Auto Translate,Locale; Title; Description,Auto Fill Prices,Price,Pricing Template ID,EEA Withdrawal Right Type,Reduced VAT Rates,Communications and amusement taxes,Tokenized digital asset declared
com.fungames.blockcraft.canfly,published,managed_by_android,false,en_US; Flying Ability ; The user gets the ability to fly,false,US; 3490000; ZA; 46990000; DE; 3190000; SA; 10990000; AU; 4090000; AT; 3190000; BE; 3190000; BO; 20990000; BR; 10990000; BG; 6290000; CA; 3890000; QA; 11000000; KZ; 990000000; CL; 2100000000; CY; 3190000; SG; 4090000; CO; 9500000000; KR; 3600000000; CR; 1600000000; DK; 25000000; EG; 26990000; AE; 10990000; SK; 3190000; SI; 3290000; ES; 3190000; US; 2990000; EE; 3190000; PH; 139000000; FI; 3290000; FR; 3190000; GR; 3290000; NL; 3190000; HU; 1090000000; IN; 200000000; ID; 41000000000; IE; 3290000; IL; 11900000; IT; 3290000; JP; 330000000; KW; 2990000; LB; 4500000000; LI; 3000000; LT; 3190000; LU; 3090000; MY; 11990000; MA; 28990000; MX; 55000000; NG; 600000000; NO; 31000000; NZ; 4390000; PK; 310000000; PE; 9990000; PL; 13990000; PT; 3290000; GB; 2490000; CZ; 84990000; RO; 14990000; RU; 199000000; SE; 31000000; CH; 3000000; TH; 110000000; TW; 98000000; TR; 8790000; UA; 74990000; VN; 67000000000; BH; 2990000; OM; 2990000; HR; 3580000; LV; 3390000; MO; 23990000; KE; 300000000; KH; 2990000; TZ; 6500000000; LK; 450000000,,,,,false
com.fungames.blockcraft.gemdecoy2,published,managed_by_android,false,en_US; Bag of Gems Promo; Get some more gems (promotion),false,US; 10390000; PE; 29990000; CZ; 259990000; UA; 219990000; NL; 9490000; RU; 590000000; EG; 79990000; BR; 29990000; CO; 26000000000; LB; 13500000000; GR; 9990000; LT; 9490000; PT; 9490000; CL; 6000000000; AU; 11990000; NG; 2560000000; PL; 42990000; DE; 9490000; IN; 600000000; SK; 9490000; GB; 7490000; KW; 8990000; BO; 61990000; AT; 9490000; ZA; 129990000; QA; 33000000; VN; 201000000000; BG; 18990000; ES; 9490000; PK; 950000000; LU; 9490000; TR; 25990000; BE; 9490000; KR; 10000000000; KZ; 2990000000; US; 8990000; MY; 35990000; CA; 10990000; LI; 8600000; NZ; 11990000; CY; 9490000; IL; 34000000; CH; 8600000; MX; 165000000; TH; 325000000; FR; 9490000; IT; 9490000; SE; 89000000; TW; 290000000; RO; 42990000; SG; 11990000; PH; 419000000; SA; 33990000; EE; 9490000; DK; 75000000; IE; 9490000; JP; 950000000; MA; 86990000; SI; 9490000; FI; 9990000; AE; 32990000; ID; 119000000000; NO; 89000000; HU; 3190000000; CR; 4900000000; BH; 8990000; OM; 8990000; HR; 10490000; LV; 9990000; MO; 71880000; KE; 900000000; KH; 8990000; TZ; 20000000000; LK; 1375000000,,,,,false
com.fungames.blockcraft.gemdecoy3,published,managed_by_android,false,en_US; Sack of Gems Promo; Get some more gems (promotion),false,US; 20780000; UA; 449990000; CL; 12100000000; TW; 580000000; PH; 835000000; BO; 119990000; CZ; 499990000; NZ; 24990000; LT; 18990000; NG; 5130000000; KW; 17990000; KZ; 5990000000; NL; 18990000; CO; 52000000000; QA; 65000000; SA; 66990000; PT; 19990000; CA; 22990000; PK; 1900000000; BR; 59990000; GR; 19990000; ID; 239000000000; US; 17990000; DK; 149000000; KR; 21000000000; IE; 19990000; RO; 84990000; SG; 23990000; EE; 18990000; AE; 65990000; IL; 68900000; VN; 401000000000; TR; 51990000; TH; 625000000; SI; 18990000; PE; 58990000; MY; 71990000; FR; 18990000; IT; 18990000; MX; 329000000; JP; 1900000000; CR; 9800000000; MA; 169990000; CH; 17000000; GB; 14990000; NO; 185000000; LI; 17000000; IN; 1200000000; CY; 18990000; ES; 18990000; RU; 1190000000; LU; 18990000; BE; 18990000; AU; 23990000; HU; 6299000000; DE; 18990000; PL; 84990000; EG; 159990000; BG; 36990000; FI; 19990000; SE; 185000000; SK; 18990000; ZA; 259990000; LB; 27000000000; AT; 18990000; BH; 17990000; OM; 17990000; HR; 21100000; LV; 20990000; MO; 148000000; KE; 1800000000; KH; 17990000; TZ; 40000000000; LK; 2775000000,,,,,false
com.fungames.blockcraft.gemdecoy4,published,managed_by_android,false,en_US; Box of Gems Promo; Get some more gems (promotion),false,US; 51430000; SE; 459000000; UA; 1099990000; DE; 46990000; LU; 45990000; SG; 59990000; NG; 13000000000; FR; 47990000; IT; 47990000; PK; 4700000000; TR; 129990000; IE; 48990000; ZA; 649990000; NZ; 59990000; IN; 3050000000; KW; 44990000; CY; 46990000; PT; 48990000; GB; 35990000; SA; 169990000; DK; 369000000; GR; 48990000; IL; 175000000; AT; 47990000; PL; 209990000; VN; 1000000000000; SK; 47990000; NO; 459000000; ES; 47990000; US; 44990000; RU; 2890000000; BE; 47990000; CA; 54990000; FI; 48990000; CH; 43000000; NL; 47990000; EG; 399990000; CR; 24500000000; LB; 67750000000; BG; 92990000; AU; 59990000; ID; 590000000000; HU; 15999000000; BR; 149990000; MY; 179990000; QA; 165000000; LI; 43000000; CO; 131000000000; PE; 149990000; LT; 47990000; JP; 4760000000; MA; 429990000; KR; 50000000000; EE; 47990000; TH; 1575000000; RO; 209990000; MX; 829000000; BO; 309990000; SI; 47990000; KZ; 14990000000; PH; 2100000000; AE; 169990000; TW; 1440000000; CL; 30100000000; CZ; 1299990000; BH; 44990000; OM; 44990000; HR; 52960000; LV; 49990000; MO; 359000000; KE; 4500000000; KH; 44990000; TZ; 100000000000; LK; 6925000000,,,,,false
com.fungames.blockcraft.gemdecoy5,published,managed_by_android,false,en_US; Chest of Gems Promo; Get some more gems (promotion),false,US; 103960000; ZA; 1299990000; DE; 94990000; SA; 339990000; AU; 119990000; AT; 94990000; BE; 94990000; BO; 619990000; BR; 299990000; BG; 189990000; CA; 109990000; QA; 330000000; KZ; 29990000000; CL; 60000000000; CY; 94990000; SG; 119990000; CO; 262000000000; KR; 100000000000; CR; 49100000000; DK; 739000000; EG; 799990000; AE; 329990000; SK; 94990000; SI; 94990000; ES; 94990000; US; 89990000; EE; 94990000; PH; 4200000000; FI; 99990000; FR; 94990000; GR; 99990000; NL; 94990000; HU; 31499000000; IN; 6100000000; ID; 1193103000000; IE; 99990000; IL; 349900000; IT; 94990000; JP; 9500000000; KW; 89990000; LB; 135500000000; LI; 85000000; LT; 94990000; LU; 94990000; MY; 359990000; MA; 869990000; MX; 1649000000; NG; 25500000000; NO; 919000000; NZ; 119990000; PK; 9400000000; PE; 299990000; PL; 429990000; PT; 99990000; GB; 74990000; CZ; 2599990000; RO; 429990000; RU; 5790000000; SE; 919000000; CH; 85000000; TH; 3175000000; TW; 2880000000; TR; 259990000; UA; 2249990000; VN; 2000000000000; BH; 89990000; OM; 89990000; HR; 106050000; LV; 104990000; MO; 719000000; KE; 9000000000; KH; 89990000; TZ; 201000000000; LK; 13750000000,,,,,false
com.fungames.blockcraft.gempack,published,managed_by_android,false,en_US; Pile of Gems; Get some more gems,false,US; 6010000; ZA; 77990000; DE; 5490000; SA; 18990000; AU; 6990000; AT; 5490000; BE; 5490000; BO; 33990000; BR; 17990000; BG; 9990000; CA; 6490000; QA; 18000000; KZ; 1690000000; CL; 3500000000; CY; 5490000; SG; 6990000; CO; 15500000000; KR; 6000000000; CR; 2700000000; DK; 42000000; EG; 43990000; AE; 17990000; SK; 5490000; SI; 5490000; ES; 5490000; US; 4990000; EE; 5490000; PH; 235000000; FI; 5490000; FR; 5490000; GR; 5490000; NL; 5490000; HU; 1790000000; IN; 340000000; ID; 68000000000; IE; 5490000; IL; 19000000; IT; 5490000; JP; 550000000; KW; 4990000; LB; 7500000000; LI; 4900000; LT; 5490000; LU; 4990000; MY; 20990000; MA; 48990000; MX; 95000000; NG; 990000000; NO; 49000000; NZ; 7490000; PK; 520000000; PE; 16990000; PL; 23990000; PT; 5490000; GB; 4190000; CZ; 149990000; RO; 23990000; RU; 329000000; SE; 49000000; CH; 4900000; TH; 175000000; TW; 160000000; TR; 14990000; UA; 129990000; VN; 112000000000; BH; 4990000; OM; 4990000; HR; 5840000; LV; 5490000; MO; 39990000; KE; 500000000; KH; 4990000; TZ; 11000000000; LK; 775000000,,,,,false
com.fungames.blockcraft.gempack1,published,managed_by_android,false,en_US; Pile of Gems; Get some more gems,false,US; 6010000; PK; 520000000; FI; 5490000; BE; 5490000; RU; 319000000; VN; 111000000000; LU; 5490000; NG; 1410000000; ES; 5490000; AU; 6490000; AE; 17990000; SE; 55000000; EG; 43990000; AT; 5490000; KR; 5900000000; TW; 160000000; SK; 5490000; CR; 2700000000; DK; 42000000; DE; 5490000; PT; 5490000; PH; 235000000; MA; 48990000; NO; 55000000; LT; 5490000; GR; 5490000; MX; 95000000; MY; 19990000; RO; 23990000; NL; 5490000; ZA; 72990000; QA; 18000000; CA; 6490000; TH; 175000000; UA; 119990000; CZ; 149990000; SG; 6490000; CO; 14500000000; KW; 4990000; NZ; 6990000; ID; 66000000000; CH; 4900000; BG; 10990000; HU; 1799000000; IN; 340000000; TR; 13990000; KZ; 1690000000; JP; 520000000; SI; 5490000; LI; 4900000; IE; 5490000; US; 4990000; EE; 5490000; LB; 7500000000; GB; 4490000; PE; 15990000; SA; 18990000; IL; 19000000; FR; 5490000; IT; 5490000; BR; 15990000; CL; 3300000000; BO; 33990000; CY; 5490000; PL; 23990000; BH; 4990000; OM; 4990000; HR; 5840000; LV; 5490000; MO; 39880000; KE; 500000000; KH; 4990000; TZ; 11000000000; LK; 775000000,,,,,false
com.fungames.blockcraft.gempack2,published,managed_by_android,false,en_US; Bag of Gems; Get some more gems,false,US; 12030000; ZA; 159990000; DE; 10990000; SA; 36990000; AU; 13990000; AT; 10990000; BE; 10990000; BO; 68990000; BR; 35990000; BG; 20990000; CA; 12990000; QA; 36000000; KZ; 3390000000; CL; 6900000000; CY; 10990000; SG; 13990000; CO; 31000000000; KR; 12000000000; CR; 5400000000; DK; 85000000; EG; 88990000; AE; 36990000; SK; 10990000; SI; 10990000; ES; 10990000; US; 9990000; EE; 10990000; PH; 465000000; FI; 10990000; FR; 10990000; GR; 10990000; NL; 10990000; HU; 3590000000; IN; 690000000; ID; 139000000000; IE; 10990000; IL; 38900000; IT; 10990000; JP; 1100000000; KW; 9990000; LB; 15000000000; LI; 9900000; LT; 10990000; LU; 9990000; MY; 40990000; MA; 96990000; MX; 185000000; NG; 1990000000; NO; 105000000; NZ; 14990000; PK; 1050000000; PE; 33990000; PL; 47990000; PT; 10990000; GB; 8490000; CZ; 289990000; RO; 47990000; RU; 690000000; SE; 105000000; CH; 9900000; TH; 350000000; TW; 330000000; TR; 28990000; UA; 249990000; VN; 224000000000; BH; 9990000; OM; 9990000; HR; 11810000; LV; 10990000; MO; 79990000; KE; 1000000000; KH; 9990000; TZ; 22000000000; LK; 1550000000,,,,,false
com.fungames.blockcraft.gempack3,published,managed_by_android,false,en_US; Sack of Gems; Get some more gems,false,US; 22970000; ZA; 309990000; DE; 20990000; SA; 74990000; AU; 27990000; AT; 20990000; BE; 21990000; BO; 139990000; BR; 72990000; BG; 41990000; CA; 25990000; QA; 73000000; KZ; 6690000000; CL; 13900000000; CY; 20990000; SG; 27990000; CO; 62000000000; KR; 24000000000; CR; 10700000000; DK; 165000000; EG; 179990000; AE; 72990000; SK; 20990000; SI; 21990000; ES; 21990000; US; 19990000; EE; 20990000; PH; 930000000; FI; 21990000; FR; 20990000; GR; 21990000; NL; 21990000; HU; 7099000000; IN; 1350000000; ID; 269000000000; IE; 21990000; IL; 77000000; IT; 21990000; JP; 2180000000; KW; 19990000; LB; 30250000000; LI; 20000000; LT; 21990000; LU; 20990000; MY; 82990000; MA; 189990000; MX; 369000000; NG; 3980000000; NO; 209000000; NZ; 28990000; PK; 2100000000; PE; 67990000; PL; 96990000; PT; 21990000; GB; 16990000; CZ; 599990000; RO; 94990000; RU; 1299000000; SE; 209000000; CH; 20000000; TH; 725000000; TW; 650000000; TR; 58990000; UA; 499990000; VN; 449000000000; BH; 19990000; OM; 19990000; HR; 23760000; LV; 22990000; MO; 159000000; KE; 2000000000; KH; 19990000; TZ; 45000000000; LK; 3075000000,,,,,false
com.fungames.blockcraft.gempack4,published,managed_by_android,false,en_US; Box of Gems; Get some more gems,false,US; 60180000; ZA; 779990000; DE; 54990000; SA; 189990000; AU; 69990000; AT; 54990000; BE; 54990000; BO; 339990000; BR; 179990000; BG; 99990000; CA; 64990000; QA; 180000000; KZ; 16990000000; CL; 34600000000; CY; 54990000; SG; 69990000; CO; 156000000000; KR; 60000000000; CR; 26800000000; DK; 415000000; EG; 439990000; AE; 179990000; SK; 54990000; SI; 54990000; ES; 54990000; US; 49990000; EE; 54990000; PH; 2350000000; FI; 54990000; FR; 54990000; GR; 54990000; NL; 54990000; HU; 17999000000; IN; 3350000000; ID; 690000000000; IE; 54990000; IL; 199900000; IT; 54990000; JP; 5500000000; KW; 49990000; LB; 75500000000; LI; 49000000; LT; 54990000; LU; 49990000; MY; 209990000; MA; 489990000; MX; 929000000; NG; 9960000000; NO; 519000000; NZ; 74990000; PK; 5200000000; PE; 169990000; PL; 239990000; PT; 54990000; GB; 41990000; CZ; 1499990000; RO; 239990000; RU; 3390000000; SE; 519000000; CH; 49000000; TH; 1775000000; TW; 1630000000; TR; 149990000; UA; 1249990000; VN; 1100000000000; BH; 49990000; OM; 49990000; HR; 59060000; LV; 54990000; MO; 399000000; KE; 5000000000; KH; 49990000; TZ; 112000000000; LK; 7700000000,,,,,false
